id,full_name,credit_sco,gender,age,occupation,balance,monthly_ir,address,origin_province,tenure_ye,married,nums_card,nums_service,active_member,last_active_date,last_transaction_month,created_date,exit,customer_segment,engagement_score,loyalty_level,digital_behavior,risk_score,risk_segment,cluster_group
11,Nguyễn Thị Linh,724,female,34,Nhân viên văn phòng/Công chức,57319508,21000000,Phường 2 (Tân Bình),TP. Hồ Chí Minh,3,1,2,3,False,14/11/2022,0,22/04/2022,False,Emerging,17,Bronze,offline,0.275,Low,2
12,Nguyễn Anh Ngọc,679,female,52,Kinh doanh/Bán hàng,39223788,31000000,Xã Xuân Thới Đông (HM),Hà Nội,2,1,4,4,False,03/07/2023,0,18/01/2023,False,Emerging,27,Bronze,offline,0.2681,Low,2
13,Trần Anh Phúc,611,male,75,Hưu trí,18961653,20000000,Phường Thắng Lợi (Q10),TP. Hồ Chí Minh,3,1,1,4,False,24/11/2022,0,01/07/2022,False,Emerging,18,Bronze,offline,0.3668,Low,2
14,Trần Hoàng Khoa,584,male,44,Hưu trí,22350304,12000000,Phường Quang Trung (GV),Long An,1,2,3,1,False,27/08/2024,0,05/08/2023,False,Mass,13,Bronze,offline,0.4454,Medium,1
15,Vũ Anh Quang,788,male,40,Chủ Doanh nghiệp nhỏ,303023434,170000000,Phường Tân Định (Q1),TP. Hồ Chí Minh,2,1,4,3,False,08/03/2025,0,27/10/2022,False,Priority,23,Bronze,offline,0.1969,Low,4
16,Phạm Kim Nam,747,male,49,Kỹ sư/Chuyên viên IT,78554326,57000000,Phường Quang Trung (GV),Hà Nội,2,0,3,6,False,23/11/2023,0,09/10/2022,False,Affluent,31,Bronze,offline,0.1757,Low,4
17,Vũ Gia Anh,734,male,39,Chủ Doanh nghiệp nhỏ,20947267,64000000,Thị trấn Tân Túc (BC),TP. Hồ Chí Minh,1,1,3,2,True,29/05/2025,31706109,07/03/2024,False,Priority,61,Silver,mobile,0.1366,Low,1
18,Lê Ngọc Linh,721,female,43,Nhân viên văn phòng/Công chức,20099823,19000000,Phường Chợ Quán (Q5),TP. Hồ Chí Minh,0,1,2,1,False,31/03/2025,0,09/08/2024,True,Emerging,10,Bronze,offline,0.3166,Low,1
19,Nguyễn Quang Vũ,644,male,47,Nội trợ/Sinh viên,4791133,6000000,Phường Quang Trung (GV),Bà Rịa - Vũng Tàu,0,1,2,4,True,16/05/2025,2322197,06/03/2025,False,Mass,65,Bronze,mobile,0.2734,Low,1
20,Trần Gia Xuân,695,female,34,Chủ Doanh nghiệp nhỏ,130410508,86000000,Xã Xuân Thới Đông (HM),TP. Hồ Chí Minh,1,0,4,8,False,31/10/2024,0,10/04/2024,False,Priority,42,Silver,offline,0.1496,Low,4
21,Hoàng Trần Hưng,728,male,61,Kỹ sư/Chuyên viên IT,71897394,43000000,Phường Tân Định (Q1),Long An,1,1,2,2,False,09/01/2024,0,08/10/2023,False,Affluent,14,Bronze,offline,0.2408,Low,1
22,Dương Anh Quang,684,male,32,Giáo viên/Giảng viên,68039746,29000000,Phường Bến Thành (Q1),Hà Nội,3,1,2,2,False,06/04/2024,0,24/11/2021,False,Emerging,14,Bronze,offline,0.2854,Low,2
23,Hoàng Thu Ngọc,654,female,31,Hưu trí,2168166,7000000,Phường Quang Trung (GV),TP. Hồ Chí Minh,1,0,3,4,False,08/02/2025,0,17/08/2023,False,Mass,24,Bronze,offline,0.376,Low,1
24,Hoàng Anh Trung,638,male,50,Kinh doanh/Bán hàng,24422671,28000000,Phường Quang Trung (GV),TP. Hồ Chí Minh,0,3,3,4,False,14/02/2025,0,16/01/2025,True,Emerging,24,Bronze,offline,0.3208,Low,1
25,Hoàng Minh Tú,788,male,60,Quản lý/Lãnh đạo,145014383,107000000,Phường 14 (Q12),Đồng Nai,2,0,5,8,False,18/11/2023,0,10/06/2023,False,Priority,45,Silver,offline,0.1433,Low,4
26,Nguyễn Trần Vân,695,female,50,Nhân viên văn phòng/Công chức,6824796,12000000,Phường Vĩnh Hội (Q4),Long An,0,1,1,5,True,02/05/2025,5168697,10/04/2025,False,Mass,66,Bronze,mobile,0.1937,Low,1
27,Mai Hoàng Quang,743,male,45,Hưu trí,43150173,20000000,Phường Thắng Lợi (Q10),TP. Hồ Chí Minh,2,1,2,6,False,26/03/2025,0,05/02/2023,False,Emerging,28,Bronze,offline,0.2429,Low,1
28,Dương Thu Hoàng,641,male,43,Kỹ sư/Chuyên viên IT,75737832,49000000,Linh Trung (TP Thủ Đức),Tỉnh khác,2,1,5,6,False,09/03/2024,0,26/10/2022,False,Affluent,38,Silver,offline,0.2371,Low,1
29,Phạm Gia Thảo,732,female,41,Chủ Doanh nghiệp nhỏ,217862308,115000000,Phường Tân Định (Q1),TP. Hồ Chí Minh,2,0,4,6,False,25/05/2023,0,22/09/2022,False,Priority,34,Bronze,offline,0.1634,Low,4
30,Đặng Thị Khoa,685,male,66,Hưu trí,11720995,12000000,Phường Bến Thành (Q1),TP. Hồ Chí Minh,0,1,4,5,True,11/06/2025,15971549,07/02/2025,False,Mass,84,Bronze,mobile,0.1971,Low,1
31,Nguyễn Hoàng Anh,649,male,52,Nhân viên văn phòng/Công chức,25569481,16000000,Phường Thắng Lợi (Q10),TP. Hồ Chí Minh,0,1,3,3,True,14/05/2025,17775197,13/09/2024,False,Emerging,71,Bronze,mobile,0.2407,Low,1
32,Hoàng Quang Ánh,714,female,42,Giáo viên/Giảng viên,20357663,29000000,Xã Vĩnh Lộc A (BC),Bình Dương,1,1,4,4,False,02/08/2024,0,10/01/2024,True,Emerging,27,Bronze,offline,0.259,Low,1
33,Vũ Đức Ánh,739,female,38,Chủ Doanh nghiệp nhỏ,55318135,134000000,Phường Vĩnh Hội (Q4),Bà Rịa - Vũng Tàu,1,1,2,1,False,02/03/2025,0,26/11/2023,False,Priority,10,Bronze,offline,0.2424,Low,4
34,Dương Thị Vũ,704,male,57,Nội trợ/Sinh viên,36552460,10000000,Phường An Hội (BT),Đồng Nai,2,0,2,1,False,15/12/2022,0,24/11/2022,True,Mass,10,Bronze,offline,0.3274,Low,2
35,Nguyễn Văn Nhiên,788,male,65,Chủ Doanh nghiệp nhỏ,220872419,166000000,Phường Tân Định (Q1),TP. Hồ Chí Minh,4,1,4,6,True,14/05/2025,46492280,26/05/2021,False,Priority,77,Gold,mobile,0.0582,Low,4
36,Nguyễn Gia Khoa,690,male,63,Hưu trí,26190765,7000000,Phường Bến Thành (Q1),Bình Dương,4,1,2,2,False,11/01/2023,0,06/03/2021,True,Mass,14,Bronze,offline,0.3349,Low,2
37,Đặng Minh Trọng,689,male,36,Hưu trí,8499031,17000000,Phường Hòa Bình (Q11),Đồng Nai,0,1,2,1,True,07/06/2025,15065550,02/10/2024,False,Emerging,59,Bronze,mobile,0.237,Low,1
38,Trần Hữu Dũng,663,male,43,Chủ Doanh nghiệp nhỏ,186760761,80000000,Phường Tân Sơn Nhì (Tân Phú),Cần Thơ,1,1,4,7,False,04/01/2025,0,15/03/2024,False,Priority,38,Silver,offline,0.1897,Low,4
39,Phạm Kim Vi,766,female,40,Kỹ sư/Chuyên viên IT,83301190,31000000,Phường Vĩnh Hội (Q4),Long An,2,1,3,4,False,25/10/2023,0,14/04/2023,False,Emerging,24,Bronze,offline,0.238,Low,2
40,Trần Thanh Vi,757,female,44,Quản lý/Lãnh đạo,86690479,106000000,Phường 14 (Q12),TP. Hồ Chí Minh,2,1,5,4,False,11/07/2024,0,18/05/2023,False,Priority,30,Bronze,offline,0.1995,Low,4
41,Đặng Văn Vũ,740,male,61,Kỹ sư/Chuyên viên IT,103947596,60000000,Thị trấn Tân Túc (BC),TP. Hồ Chí Minh,2,1,5,7,True,19/04/2025,55062791,05/04/2023,False,Priority,90,Silver,mobile,0.0548,Low,4
42,Nguyễn Quang Hoàng,642,male,72,Kế toán/Tài chính,70193558,32000000,Phường 14 (Q12),TP. Hồ Chí Minh,3,0,5,1,False,27/01/2025,0,25/01/2022,False,Emerging,19,Bronze,offline,0.3335,Low,2
43,Bùi Hoàng Vi,711,female,53,Kỹ sư/Chuyên viên IT,66310911,48000000,Phường An Hội (BT),TP. Hồ Chí Minh,2,1,5,1,False,26/02/2025,0,25/07/2022,False,Affluent,19,Bronze,offline,0.2442,Low,2
44,Bùi Kim Linh,747,female,38,Hưu trí,23881897,19000000,Phường Tân Định (Q1),Bình Dương,1,1,4,4,False,12/05/2024,0,02/02/2024,False,Emerging,27,Bronze,offline,0.2771,Low,1
45,Trần Thị Dũng,694,male,47,Giáo viên/Giảng viên,11078882,19000000,Phường Thắng Lợi (Q10),Bình Dương,0,1,4,4,True,23/04/2025,4415684,24/03/2025,False,Emerging,69,Bronze,mobile,0.1873,Low,1
46,Nguyễn Đức Duyên,649,female,77,Kế toán/Tài chính,53004227,18000000,Phường Tân Định (Q1),Hà Nội,3,3,2,4,False,12/06/2024,0,14/03/2022,True,Emerging,21,Bronze,offline,0.3204,Low,2
47,Trần Văn Vi,651,female,49,Nhân viên văn phòng/Công chức,12827164,16000000,Phường 14 (Q12),Bà Rịa - Vũng Tàu,2,0,2,2,False,07/12/2023,0,11/03/2023,False,Emerging,14,Bronze,offline,0.3646,Low,2
48,Đặng Hữu Vi,634,female,43,Kế toán/Tài chính,38693250,36000000,Phường Tân Sơn Nhì (Tân Phú),Đồng Nai,0,0,5,6,True,27/06/2025,23846449,05/02/2025,False,Affluent,84,Bronze,mobile,0.1732,Low,1
49,Mai Minh Nam,621,male,44,Kinh doanh/Bán hàng,77495047,36000000,Phường Tân Định (Q1),TP. Hồ Chí Minh,3,1,1,2,False,19/07/2022,0,22/03/2022,False,Affluent,10,Bronze,offline,0.3329,Low,2
50,Mai Văn Nam,659,male,53,Quản lý/Lãnh đạo,24190615,44000000,Phường Thắng Lợi (Q10),Tỉnh khác,1,1,2,5,False,11/12/2024,0,11/04/2024,False,Affluent,25,Bronze,offline,0.2554,Low,1
51,Trần Xuân Hưng,710,male,36,Chủ Doanh nghiệp nhỏ,150135757,141000000,Phường Bến Thành (Q1),Tiền Giang,3,1,2,4,False,05/06/2022,0,16/01/2022,False,Priority,21,Bronze,offline,0.1929,Low,4
52,Hoàng Thị Vân,674,female,40,Nội trợ/Sinh viên,1884798,7000000,Phường Tân Định (Q1),TP. Hồ Chí Minh,1,1,4,3,False,16/07/2024,0,12/03/2024,True,Mass,23,Bronze,offline,0.3702,Low,1
53,Trần Ngọc Nhiên,669,male,63,Nhân viên văn phòng/Công chức,16638319,16000000,Thị trấn Tân Túc (BC),TP. Hồ Chí Minh,0,1,2,1,True,24/06/2025,44355030,08/09/2024,False,Emerging,65,Bronze,mobile,0.2509,Low,1
54,Mai Anh Tú,658,male,52,Nhân viên văn phòng/Công chức,9265746,19000000,Phường An Hội (BT),TP. Hồ Chí Minh,0,1,2,1,False,27/03/2025,0,06/01/2025,True,Emerging,10,Bronze,offline,0.368,Low,1
55,Phạm Hoàng Chi,568,female,49,Kinh doanh/Bán hàng,30970808,27000000,Phường 14 (Q12),TP. Hồ Chí Minh,0,1,3,4,False,09/03/2025,0,07/10/2024,True,Emerging,24,Bronze,offline,0.3899,Low,1
56,Hoàng Văn Thành,675,male,64,Kỹ sư/Chuyên viên IT,79111754,65000000,Phường Vĩnh Hội (Q4),Bà Rịa - Vũng Tàu,1,1,3,6,True,24/04/2025,103126977,28/07/2023,False,Priority,86,Silver,mobile,0.0956,Low,3
57,Lê Trần Dũng,718,male,38,Kỹ sư/Chuyên viên IT,59232333,55000000,Xã Xuân Thới Đông (HM),Long An,3,1,3,4,False,26/03/2023,0,28/06/2022,False,Affluent,24,Bronze,offline,0.2041,Low,2
58,Bùi Thanh Khoa,630,male,42,Hưu trí,8628480,21000000,Phường 14 (Q12),Bình Dương,2,0,1,4,False,26/06/2023,0,07/08/2022,False,Emerging,18,Bronze,offline,0.3553,Low,2
59,Lê Thu Yến,650,female,52,Hưu trí,54717669,20000000,Linh Trung (TP Thủ Đức),Bà Rịa - Vũng Tàu,0,1,1,2,True,29/05/2025,15416405,01/09/2024,False,Emerging,58,Bronze,mobile,0.2351,Low,1
60,Trần Gia Vân,633,female,51,Nhân viên văn phòng/Công chức,13069175,24000000,Phường Chợ Quán (Q5),TP. Hồ Chí Minh,0,1,1,3,False,12/11/2024,0,20/09/2024,True,Emerging,14,Bronze,offline,0.3538,Low,1
61,Đặng Gia Tùng,701,male,30,Nhân viên văn phòng/Công chức,16010903,14000000,Phường Chợ Quán (Q5),TP. Hồ Chí Minh,3,3,2,2,False,14/09/2024,0,08/08/2021,False,Mass,14,Bronze,offline,0.3169,Low,2
62,Dương Thu Yến,768,female,41,Nhân viên văn phòng/Công chức,38285871,25000000,Phường Hòa Bình (Q11),TP. Hồ Chí Minh,3,0,1,2,False,08/02/2024,0,08/03/2022,False,Emerging,10,Bronze,offline,0.2844,Low,2
63,Trần Minh Hồng,725,female,45,Nhân viên văn phòng/Công chức,9848272,14000000,Phường 7 (Q7),TP. Hồ Chí Minh,4,1,2,1,False,21/10/2021,0,15/04/2021,True,Mass,10,Bronze,offline,0.3352,Low,2
64,Mai Văn Trọng,632,male,54,Nhân viên văn phòng/Công chức,34938636,10000000,Phường Chợ Quán (Q5),Tỉnh khác,2,0,2,2,False,12/01/2025,0,15/11/2022,False,Mass,14,Bronze,offline,0.3835,Low,2
65,Nguyễn Hữu Quang,701,male,51,Hưu trí,15341936,18000000,Phường 7 (Q7),Tỉnh khác,2,1,3,1,False,08/01/2025,0,24/06/2023,False,Emerging,13,Bronze,offline,0.3219,Low,2
66,Phạm Thị Trung,664,male,46,Hưu trí,16105490,7000000,Phường Chợ Quán (Q5),TP. Hồ Chí Minh,4,2,4,7,True,19/04/2025,4030519,04/06/2021,False,Mass,84,Gold,mobile,0.1993,Low,2
67,Đặng Xuân Nam,606,male,26,Giáo viên/Giảng viên,21577458,17000000,Phường Chợ Quán (Q5),Bà Rịa - Vũng Tàu,2,0,4,5,False,14/09/2024,0,27/01/2023,True,Emerging,31,Bronze,offline,0.3638,Low,2
68,Vũ Văn Quang,661,male,47,Kinh doanh/Bán hàng,14111720,18000000,Phường Tân Định (Q1),TP. Hồ Chí Minh,2,3,3,3,False,02/10/2023,0,24/09/2022,False,Emerging,20,Bronze,offline,0.3369,Low,2
69,Mai Anh Dũng,645,male,48,Hưu trí,43900143,18000000,Xã Xuân Thới Đông (HM),Tỉnh khác,3,1,2,1,False,23/12/2022,0,27/05/2022,False,Emerging,10,Bronze,offline,0.3642,Low,2
70,Nguyễn Thu Vi,692,female,90,Kế toán/Tài chính,41728586,33000000,Phường An Hội (BT),Tỉnh khác,0,1,2,2,True,03/04/2025,59862993,15/03/2025,False,Emerging,68,Bronze,mobile,0.1703,Low,1
71,Mai Gia Huy,709,male,44,Kinh doanh/Bán hàng,95890054,44000000,Phường Thắng Lợi (Q10),TP. Hồ Chí Minh,2,1,3,8,False,20/05/2023,0,25/04/2023,False,Affluent,39,Silver,offline,0.1603,Low,4
72,Trần Kim Thảo,709,female,52,Kế toán/Tài chính,27759352,33000000,Phường Quang Trung (GV),Tỉnh khác,0,1,2,4,False,07/02/2025,0,03/10/2024,False,Emerging,21,Bronze,offline,0.2472,Low,1
73,Vũ Ngọc Huy,730,male,68,Chủ Doanh nghiệp nhỏ,139627377,77000000,Phường An Hội (BT),Bình Dương,4,1,1,2,False,09/11/2023,0,21/03/2021,False,Priority,10,Bronze,offline,0.2188,Low,2
74,Trần Thanh Chi,712,female,60,Chủ Doanh nghiệp nhỏ,225395955,77000000,Phường An Hội (BT),Đồng Nai,2,1,3,1,False,05/01/2025,0,18/09/2022,False,Priority,13,Bronze,offline,0.2255,Low,4
75,Nguyễn Anh Châu,661,male,73,Nhân viên văn phòng/Công chức,51722069,27000000,Thị trấn Tân Túc (BC),Tỉnh khác,3,0,3,1,False,26/04/2024,0,31/01/2022,False,Emerging,13,Bronze,offline,0.3282,Low,2
76,Nguyễn Kim Hưng,664,male,30,Hưu trí,12396100,14000000,Phường 2 (Tân Bình),TP. Hồ Chí Minh,2,1,4,1,False,14/07/2024,0,26/07/2022,True,Mass,16,Bronze,offline,0.3685,Low,2
77,Trần Văn Xuân,612,female,34,Nội trợ/Sinh viên,16073200,10000000,Phường Thắng Lợi (Q10),Đồng Nai,3,0,2,1,False,10/02/2023,0,25/08/2021,False,Mass,10,Bronze,offline,0.4253,Medium,2
78,Mai Văn Hồng,628,female,39,Kinh doanh/Bán hàng,18238068,12000000,Phường 7 (Q7),Đồng Nai,3,1,1,2,False,14/12/2024,0,11/08/2021,False,Mass,10,Bronze,offline,0.3913,Low,2
79,Nguyễn Ngọc Chi,680,female,29,Giáo viên/Giảng viên,16042992,20000000,Phường Vĩnh Hội (Q4),TP. Hồ Chí Minh,1,1,4,5,False,11/02/2025,0,26/05/2024,False,Emerging,31,Bronze,offline,0.2874,Low,1
80,Bùi Minh Minh,664,male,48,Quản lý/Lãnh đạo,73463069,49000000,Phường 7 (Q7),Đồng Nai,4,0,3,1,False,22/03/2025,0,01/04/2021,False,Affluent,13,Bronze,offline,0.277,Low,2
81,Phạm Thanh Bảo,659,male,35,Nội trợ/Sinh viên,13058726,11000000,Thị trấn Tân Túc (BC),Đồng Nai,2,1,2,1,False,13/08/2023,0,03/06/2023,True,Mass,10,Bronze,offline,0.3788,Low,2
82,Bùi Anh Ngọc,674,female,77,Giáo viên/Giảng viên,11449756,14000000,Xã Vĩnh Lộc A (BC),Tiền Giang,3,3,3,2,False,21/05/2023,0,13/09/2021,True,Mass,16,Bronze,offline,0.3469,Low,2
83,Hoàng Ngọc Vi,761,female,37,Chủ Doanh nghiệp nhỏ,77299805,107000000,Phường Chợ Quán (Q5),Long An,0,0,3,5,False,11/02/2025,0,28/11/2024,False,Priority,28,Bronze,offline,0.1884,Low,4
84,Lê Anh Chi,656,female,43,Nội trợ/Sinh viên,5591463,6000000,Phường Thắng Lợi (Q10),Cần Thơ,2,2,2,1,False,09/01/2025,0,16/02/2023,True,Mass,10,Bronze,offline,0.4021,Medium,2
85,Vũ Ngọc Ngọc,684,female,61,Nhân viên văn phòng/Công chức,12696392,16000000,Xã Vĩnh Lộc A (BC),Đồng Nai,1,2,3,1,False,28/01/2024,0,28/01/2024,False,Emerging,13,Bronze,offline,0.3442,Low,1
86,Nguyễn Ngọc Nhiên,665,male,32,Lao động phổ thông,5094077,12000000,Phường 14 (Q12),Tỉnh khác,0,2,2,5,True,18/06/2025,6528612,29/05/2025,False,Mass,70,Bronze,mobile,0.2272,Low,1
87,Phạm Anh Thảo,782,female,28,Kế toán/Tài chính,61654987,22000000,Phường Tân Sơn Nhì (Tân Phú),TP. Hồ Chí Minh,3,0,1,1,False,23/01/2025,0,14/03/2022,False,Emerging,7,Bronze,offline,0.2971,Low,2
88,Hoàng Minh Dũng,800,male,50,Chủ Doanh nghiệp nhỏ,147932987,93000000,Phường Bến Thành (Q1),TP. Hồ Chí Minh,1,2,3,3,False,30/10/2024,0,22/11/2023,False,Priority,20,Bronze,offline,0.2056,Low,4
89,Mai Quang Chi,754,female,51,Quản lý/Lãnh đạo,235182325,53000000,Linh Trung (TP Thủ Đức),TP. Hồ Chí Minh,3,1,3,5,False,10/12/2022,0,12/02/2022,False,Affluent,28,Bronze,offline,0.175,Low,4
90,Bùi Đức Nhiên,617,male,60,Giáo viên/Giảng viên,16030584,13000000,Phường 14 (Q12),Tiền Giang,1,2,2,2,False,12/07/2024,0,05/06/2024,True,Mass,14,Bronze,offline,0.4019,Medium,1
91,Trần Hữu Dũng,740,male,56,Giáo viên/Giảng viên,15606474,26000000,Phường Tân Sơn Nhì (Tân Phú),TP. Hồ Chí Minh,0,1,2,4,False,05/03/2025,0,27/11/2024,False,Emerging,21,Bronze,offline,0.2682,Low,1
92,Bùi Hoàng Hoàng,639,male,52,Giáo viên/Giảng viên,17292327,20000000,Phường Vĩnh Hội (Q4),TP. Hồ Chí Minh,0,0,3,1,False,07/09/2024,0,05/09/2024,False,Emerging,13,Bronze,offline,0.3774,Low,1
93,Mai Hoàng Bảo,785,male,38,Quản lý/Lãnh đạo,99922101,88000000,Phường 14 (Q12),Bà Rịa - Vũng Tàu,0,0,2,8,True,07/04/2025,225966261,26/11/2024,False,Priority,91,Bronze,mobile,0.0428,Low,3
94,Vũ Gia Trọng,615,male,51,Lao động phổ thông,21762943,13000000,Phường Chợ Quán (Q5),TP. Hồ Chí Minh,3,1,2,4,False,28/03/2024,0,06/09/2021,True,Mass,21,Bronze,offline,0.3752,Low,2
95,Vũ Kim Linh,685,female,52,Hưu trí,20865548,17000000,Phường 7 (Q7),Đồng Nai,2,1,4,1,False,14/03/2025,0,26/06/2023,False,Emerging,16,Bronze,offline,0.3352,Low,2
96,Lê Gia Yến,663,female,38,Nhân viên văn phòng/Công chức,37061078,22000000,Phường 14 (Q12),Bà Rịa - Vũng Tàu,3,1,1,1,False,21/07/2024,0,22/11/2021,True,Emerging,7,Bronze,offline,0.3403,Low,2
97,Dương Xuân Nam,762,male,84,Chủ Doanh nghiệp nhỏ,189172355,160000000,Phường Tân Sơn Nhì (Tân Phú),Cần Thơ,0,1,5,7,False,17/12/2024,0,29/07/2024,False,Priority,41,Bronze,offline,0.1526,Low,4
98,Dương Đức Hồng,743,female,55,Chủ Doanh nghiệp nhỏ,421540487,135000000,Xã Vĩnh Lộc A (BC),TP. Hồ Chí Minh,4,3,5,7,True,08/06/2025,81169032,08/06/2021,False,Priority,87,Gold,mobile,0.0379,Low,4
99,Phạm Thanh Linh,639,female,35,Kế toán/Tài chính,65345502,29000000,Phường Bến Thành (Q1),Bình Dương,2,1,3,8,True,18/04/2025,18183750,17/10/2022,False,Emerging,85,Silver,mobile,0.1509,Low,1
100,Mai Quang Bảo,748,male,61,Chủ Doanh nghiệp nhỏ,152214738,156000000,Phường Chợ Quán (Q5),TP. Hồ Chí Minh,2,1,5,5,False,03/02/2025,0,24/02/2023,False,Priority,34,Bronze,offline,0.1802,Low,4
101,Bùi Ngọc Tùng,657,male,64,Giáo viên/Giảng viên,32502993,23000000,Phường 14 (Q12),Cần Thơ,2,1,2,3,False,18/03/2024,0,15/04/2023,False,Emerging,17,Bronze,offline,0.3208,Low,2
102,Trần Quang Nam,659,male,54,Nội trợ/Sinh viên,9862427,11000000,Linh Trung (TP Thủ Đức),TP. Hồ Chí Minh,2,1,2,3,False,12/06/2024,0,11/05/2023,True,Mass,17,Bronze,offline,0.3572,Low,2
103,Nguyễn Đức Thảo,626,female,44,Giáo viên/Giảng viên,40404791,31000000,Xã Vĩnh Lộc A (BC),TP. Hồ Chí Minh,4,1,2,6,False,03/01/2023,0,13/01/2021,False,Emerging,28,Bronze,offline,0.2957,Low,2
104,Hoàng Trần Vi,638,female,37,Lao động phổ thông,4053205,11000000,Phường An Hội (BT),TP. Hồ Chí Minh,0,1,2,1,True,13/06/2025,6382885,11/03/2025,False,Mass,56,Bronze,mobile,0.309,Low,1
105,Đặng Minh Hoàng,654,male,46,Giáo viên/Giảng viên,8578154,19000000,Linh Trung (TP Thủ Đức),Tiền Giang,2,1,2,2,False,21/10/2024,0,12/06/2023,True,Emerging,14,Bronze,offline,0.3604,Low,2
106,Đặng Anh Ánh,665,female,53,Kế toán/Tài chính,28701916,38000000,Phường 2 (Tân Bình),Hà Nội,0,1,3,3,True,14/05/2025,20731935,22/10/2024,False,Affluent,66,Bronze,mobile,0.1793,Low,1
107,Vũ Gia Chi,673,female,47,Giáo viên/Giảng viên,11852106,17000000,Linh Trung (TP Thủ Đức),TP. Hồ Chí Minh,3,1,1,5,False,16/03/2025,0,19/09/2021,False,Emerging,22,Bronze,offline,0.304,Low,2
108,Hoàng Thị Bảo,615,male,74,Lao động phổ thông,11305216,14000000,Phường Chợ Quán (Q5),Bình Dương,0,0,3,4,False,16/03/2025,0,09/08/2024,False,Mass,24,Bronze,offline,0.3811,Low,1
109,Mai Văn Bảo,707,male,58,Chủ Doanh nghiệp nhỏ,113785695,135000000,Thị trấn Tân Túc (BC),TP. Hồ Chí Minh,3,1,3,8,False,01/08/2024,0,17/06/2022,False,Priority,39,Silver,offline,0.1462,Low,4
110,Trần Thanh Duyên,741,female,36,Nhân viên văn phòng/Công chức,15631314,21000000,Phường 2 (Tân Bình),TP. Hồ Chí Minh,2,1,1,4,False,10/01/2025,0,23/11/2022,False,Emerging,18,Bronze,offline,0.2782,Low,2
111,Trần Minh Dương,675,female,34,Hưu trí,40100956,14000000,Linh Trung (TP Thủ Đức),TP. Hồ Chí Minh,4,1,2,5,False,05/02/2024,0,17/06/2021,False,Mass,25,Bronze,offline,0.2933,Low,2
112,Phạm Thanh Quang,766,male,55,Quản lý/Lãnh đạo,159603279,118000000,Phường Tân Định (Q1),Đồng Nai,3,0,4,8,False,23/08/2022,0,05/04/2022,False,Priority,42,Silver,offline,0.1421,Low,4
113,Đặng Quang Hoàng,752,male,44,Chủ Doanh nghiệp nhỏ,45507250,71000000,Phường Chợ Quán (Q5),Tỉnh khác,4,1,5,5,False,06/08/2024,0,11/02/2021,False,Priority,34,Bronze,offline,0.1948,Low,4
